Lot Name,Lot ID,Lot Title,Facility Highlights,Facility Overview,Address 1,Address 2
CLT - 225 S Mint St,5,225 South Mint Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",225 S. Mint St.,"Charlotte, NC 28202"
CLT - 227 Southside Dr,517,227 Southside Drive Lot,"Surface lot parking near Lower South End and South Tryon access, close to breweries, restaurants, and offices.","Convenient parking for LoSo visits, South End access, workday stops, and nearby entertainment.",227 Southside Dr.,"Charlotte, NC 28217"
CLT - 228 S Church St,43,228 South Church Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",228 S. Church St.,"Charlotte, NC 28202"
CLT - 241 N Alexander St,270,241 North Alexander Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",241 N. Alexander St.,"Charlotte, NC 28202"
CLT - 300 Rampart St,620,300 Rampart Street Lot,"Surface lot parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",300 Rampart St.,"Charlotte, NC 28203"
CLT - 300 S Davidson St,120,First Baptist Lot,"Surface lot parking near First Baptist, Second Ward, Spectrum Center, and Uptown civic destinations.","Convenient parking for church visits, Uptown events, meetings, restaurants, and nearby government offices.",300 S. Davidson St.,"Charlotte, NC 28202"
CLT - 301 S Brevard St,582,301 South Brevard Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",301 S. Brevard St.,"Charlotte, NC 28202"
CLT - 309 W Trade St,101,309 West Trade Street Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",309 W. Trade St.,"Charlotte, NC 28202"
CLT - 325 E 9th St,305,325 East 9th Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",325 E. 9th St.,"Charlotte, NC 28202"
CLT - 401 N McDowell,482,401 North McDowell Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",401 N. McDowell St.,"Charlotte, NC 28204"
CLT - 401P W 6th,122,401 West 6th Street Lot,"Surface lot parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",401 W. 6th St.,"Charlotte, NC 28202"
CLT - 402 E 4th,14,402 East 4th Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",402 E. 4th St.,"Charlotte, NC 28202"
CLT - 406 E Trade,32,407 East 4th Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",407 E. 4th St.,"Charlotte, NC 28202"
CLT - 418 E 7th,304,418 East 7th Street Lot,"Surface lot parking in First Ward near Spectrum Center, First Ward Park, ImaginOn, The Market at 7th Street, and offices.","Convenient parking for Uptown events, dining, office visits, parks, and First Ward arts destinations.",418 E. 7th St.,"Charlotte, NC 28202"
CLT - 463 E 3rd St,678,463 East 3rd Street Lot,"Surface lot parking in Second Ward near Spectrum Center, NASCAR Hall of Fame, Charlotte Convention Center, and courthouse destinations.","Convenient parking for Uptown meetings, events, dining, entertainment, and the convention district.",463 E. 3rd St.,"Charlotte, NC 28202"
CLT - 501 W Trade,379,501 West Trade Street Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",501 W. Trade St.,"Charlotte, NC 28202"
CLT - 512 W MLK,346,512 West MLK Jr. Boulevard Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",512 W. MLK Jr. Blvd.,"Charlotte, NC 28202"
CLT - 521 E Morehead,251,521 East Morehead Street Lot,"Surface lot parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",521 E. Morehead St.,"Charlotte, NC 28202"
CLT - 525 N Tryon,268,525 North Tryon Garage,"Garage parking on the North Tryon corridor near Charlotte Ballet, Discovery Place Science, McColl Center, and Uptown offices.","Convenient parking for North Tryon arts, museum visits, offices, dining, and nearby Fourth Ward destinations.",525 N. Tryon St.,"Charlotte, NC 28202"
CLT - 531 W 4th St,657,531 West 4th Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",531 W. 4th St.,"Charlotte, NC 28202"
CLT - 600 N Tryon,54,600 North Tryon Street Lot,"Surface lot parking on the North Tryon corridor near Charlotte Ballet, Discovery Place Science, McColl Center, and Uptown offices.","Convenient parking for North Tryon arts, museum visits, offices, dining, and nearby Fourth Ward destinations.",600 N. Tryon St.,"Charlotte, NC 28202"
CLT - 600 W 8th,414,600 West 8th Street Lot,"Surface lot parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",600 W. 8th St.,"Charlotte, NC 28202"
CLT - 601 W Trade,53,601 West Trade Street Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",601 W. Trade St.,"Charlotte, NC 28202"
CLT - 610 E Morehead,252,610 East Morehead Street Lot,"Surface lot parking near East Morehead and Dilworth, close to Atrium Health, Metropolitan, restaurants, and greenway access.","Convenient parking for medical visits, dining, shopping, workday stops, and Midtown or Dilworth appointments.",610 E. Morehead St.,"Charlotte, NC 28202"
CLT - 616 N Tryon,75,616 North Tryon Street Lot,"Surface lot parking on the North Tryon corridor near Charlotte Ballet, Discovery Place Science, McColl Center, and Uptown offices.","Convenient parking for North Tryon arts, museum visits, offices, dining, and nearby Fourth Ward destinations.",616 N. Tryon St.,"Charlotte, NC 28202"
CLT - 624 S Cedar,339,624 South Cedar Street Lot,"Surface lot parking near the stadium and West Morehead edge of Uptown, with access to Third Ward, FreeMoreWest, and I-77.","Convenient parking for stadium events, West Morehead offices, Uptown dining, and nearby South End access.",624 S. Cedar St.,"Charlotte, NC 28208"
CLT - 630 Garage,315,630 North Church Street Garage,"Garage parking in Fourth Ward near Discovery Place Science, Charlotte Ballet, McColl Center, North Tryon, and Uptown offices.","Convenient parking for Fourth Ward arts, museum visits, dining, office stops, and neighborhood events.",630 N. Church St.,"Charlotte, NC 28202"
CLT - 709 W Trade St,542,709 West Trade Street Lot,"Surface lot parking near West Trade Street, Gateway Village, Johnson and Wales, Charlotte Gateway Station, and Uptown offices.","Convenient parking for Gateway District offices, campus visits, transit connections, dining, and Uptown events.",709 W. Trade St.,"Charlotte, NC 28202"
CLT - 727 W Trade,223,727 West 4th Street Lot,"Surface lot parking in Third Ward near Bank of America Stadium, Truist Field, Romare Bearden Park, and West Trade.","Convenient parking for stadium and ballpark events, Uptown offices, restaurants, hotels, and nightlife.",727 W. 4th St.,"Charlotte, NC 28202"
CLT - 800 Westmere Ave,394,800 Westmere Avenue Lot,"Surface lot parking in FreeMoreWest near West Morehead, Wesley Heights, breweries, restaurants, and I-77 access.","Convenient parking for FreeMoreWest dining, breweries, offices, and quick trips between Uptown and West Charlotte.",800 Westmere Ave.,"Charlotte, NC 28208"
CLT - 901 W Trade St Surface,372,Gateway Center Surface Lot,"Surface lot parking for Gateway Center near West Trade, Gateway Village, Johnson and Wales, and Uptown offices.","Convenient parking for Gateway District workdays, campus visits, transit connections, and Uptown events.",901 W. Trade St.,"Charlotte, NC 28202"
CLT - 907 S Tryon,206,907 South Tryon Street Lot,"Surface lot parking in South End near the Rail Trail, LYNX Blue Line, dining, breweries, and offices.","Convenient parking for South End restaurants, nightlife, office visits, and quick access toward Uptown.",907 S. Tryon St.,"Charlotte, NC 28202"
